
"QS119EW - Households by deprivation dimensions"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 ward","All categories: Classification of household deprivation","Household is not deprived in any dimension","Household is deprived in 1 dimension","Household is deprived in 2 dimensions","Household is deprived in 3 dimensions","Household is deprived in 4 dimensions"
"E05000307 : Cranham",5178,2383,1710,972,108,5
"E05000308 : Elm Park",5127,1844,1809,1230,223,21
"E05000309 : Emerson Park",4581,2097,1592,792,92,8
"E05000310 : Gooshays",5971,1688,1990,1659,564,70
"E05000311 : Hacton",4964,2090,1788,964,113,9
"E05000312 : Harold Wood",5491,2185,1842,1168,260,36
"E05000313 : Havering Park",5111,1810,1876,1118,291,16
"E05000314 : Heaton",5299,1440,1845,1524,452,38
"E05000315 : Hylands",4990,2205,1679,944,154,8
"E05000316 : Mawneys",5278,1970,1907,1158,228,15
"E05000317 : Pettits",5097,2153,1853,930,154,7
"E05000318 : Rainham and Wennington",4995,1800,1831,1114,233,17
"E05000319 : Romford Town",7188,2976,2470,1370,330,42
"E05000320 : St Andrew's",5701,2340,1922,1209,217,13
"E05000321 : South Hornchurch",5438,1827,1975,1308,305,23
"E05000322 : Squirrel's Heath",5599,2753,1808,853,162,23
"E05000323 : Upminster",5093,2622,1690,715,61,5
"E05000324 : Barnhill",4299,1214,1577,1136,344,28
"E05000325 : Botwell",4956,1416,1816,1253,413,58
"E05000326 : Brunel",4514,1551,1740,954,244,25
"E05000327 : Cavendish",4441,2245,1414,670,110,2
"E05000328 : Charville",4340,1576,1594,952,193,25
"E05000329 : Eastcote and East Ruislip",4735,2508,1525,594,99,9
"E05000330 : Harefield",3008,1272,990,588,141,17
"E05000331 : Heathrow Villages",4450,1394,1770,968,282,36
"E05000332 : Hillingdon East",4546,1898,1545,890,195,18
"E05000333 : Ickenham",3935,2120,1274,486,52,3
"E05000334 : Manor",4505,2264,1464,680,88,9
"E05000335 : Northwood",4578,2400,1409,618,126,25
"E05000336 : Northwood Hills",4678,2222,1496,783,164,13
"E05000337 : Pinkwell",4647,1393,1734,1149,322,49
"E05000338 : South Ruislip",4653,2037,1619,805,177,15
"E05000339 : Townfield",4658,1238,1702,1237,427,54
"E05000340 : Uxbridge North",4757,2270,1514,775,176,22
"E05000341 : Uxbridge South",4908,1838,1734,1007,287,42
"E05000342 : West Drayton",5387,1821,1919,1220,389,38
"E05000343 : West Ruislip",4577,2316,1450,656,139,16
"E05000344 : Yeading",4675,1564,1675,1104,286,46
"E05000345 : Yiewsley",4967,1586,1863,1097,375,46
"E05000346 : Bedfont",4859,1575,1774,1179,299,32
"E05000347 : Brentford",5954,2169,2089,1221,421,54
"E05000348 : Chiswick Homefields",4857,2687,1413,572,159,26
"E05000349 : Chiswick Riverside",5107,2927,1358,584,193,45
"E05000350 : Cranford",3930,981,1537,1071,308,33
"E05000351 : Feltham North",4220,1332,1585,1010,267,26
"E05000352 : Feltham West",5813,2086,2158,1160,356,53
"E05000353 : Hanworth",4651,1432,1741,1094,335,49
"E05000354 : Hanworth Park",4485,1675,1610,919,246,35
"E05000355 : Heston Central",3896,1205,1465,899,286,41
"E05000356 : Heston East",4004,1320,1524,882,260,18
"E05000357 : Heston West",4016,984,1532,1075,370,55
"E05000358 : Hounslow Central",5384,1611,2177,1215,343,38
"E05000359 : Hounslow Heath",4915,1410,1898,1165,381,61
"E05000360 : Hounslow South",3944,1705,1365,726,138,10
"E05000361 : Hounslow West",3945,988,1627,970,315,45
"E05000362 : Isleworth",4893,1966,1578,962,339,48
"E05000363 : Osterley and Spring Grove",4796,2200,1712,711,153,20
"E05000364 : Syon",5790,2426,1948,1030,348,38
"E05000365 : Turnham Green",5443,2734,1672,758,257,22
"E05000400 : Alexandra",3373,1610,1174,495,88,6
"E05000401 : Berrylands",4305,2102,1343,649,186,25
"E05000402 : Beverley",3924,1844,1270,623,154,33
"E05000403 : Canbury",5072,2931,1410,541,168,22
"E05000404 : Chessington North and Hook",3374,1502,1135,584,136,17
"E05000405 : Chessington South",4035,1944,1356,597,126,12
"E05000406 : Coombe Hill",3686,1958,1214,419,84,11
"E05000407 : Coombe Vale",3600,1946,1098,435,112,9
"E05000408 : Grove",4878,2526,1499,655,168,30
"E05000409 : Norbiton",4050,1603,1345,803,276,23
"E05000410 : Old Malden",3558,1775,1181,504,89,9
"E05000411 : St James",3308,1568,1103,518,113,6
"E05000412 : St Mark's",4410,2454,1312,523,104,17
"E05000413 : Surbiton Hill",4603,2527,1418,537,111,10
"E05000414 : Tolworth and Hook Rise",3732,1708,1256,628,133,7
"E05000415 : Tudor",3731,2177,1072,381,92,9
"E05000455 : Abbey",4568,2413,1320,615,196,24
"E05000456 : Cannon Hill",3450,1676,1126,543,101,4
"E05000457 : Colliers Wood",4429,1909,1608,711,183,18
"E05000458 : Cricket Green",4320,1257,1577,1083,366,37
"E05000459 : Dundonald",4017,2534,1024,362,88,9
"E05000460 : Figge's Marsh",4225,1306,1540,1010,322,47
"E05000461 : Graveney",3459,1358,1218,696,169,18
"E05000462 : Hillside",4251,2502,1217,417,107,8
"E05000463 : Lavender Fields",4029,1488,1515,730,259,37
"E05000464 : Longthornton",3646,1373,1311,746,196,20
"E05000465 : Lower Morden",3440,1528,1223,572,105,12
"E05000466 : Merton Park",3651,1966,1101,487,87,10
"E05000467 : Pollards Hill",3679,1273,1365,796,222,23
"E05000468 : Ravensbury",3794,1272,1346,886,264,26
"E05000469 : Raynes Park",4177,2325,1282,439,110,21
"E05000470 : St Helier",3976,1333,1383,929,304,27
"E05000471 : Trinity",4275,2499,1156,464,142,14
"E05000472 : Village",3471,2268,885,269,47,2
"E05000473 : West Barnes",3615,1912,1094,500,98,11
"E05000474 : Wimbledon Park",4285,2449,1303,430,91,12
"E05000495 : Aldborough",5005,1838,1840,1039,256,32
"E05000496 : Barkingside",4277,1661,1560,889,158,9
"E05000497 : Bridge",4758,2160,1504,828,243,23
"E05000498 : Chadwell",5160,2140,1730,977,281,32
"E05000499 : Church End",4969,2520,1562,716,157,14
"E05000500 : Clayhall",4102,1683,1484,800,124,11
"E05000501 : Clementswood",4443,1151,1741,1139,370,42
"E05000502 : Cranbrook",4020,1520,1464,819,195,22
"E05000503 : Fairlop",4966,1982,1692,1016,253,23
"E05000504 : Fullwell",4772,1700,1704,1086,251,31
"E05000505 : Goodmayes",4170,1355,1572,915,293,35
"E05000506 : Hainault",5284,1642,1746,1363,482,51
"E05000507 : Loxford",5101,1242,1961,1299,532,67
"E05000508 : Mayfield",4257,1544,1544,932,221,16
"E05000509 : Monkhams",4277,2297,1336,550,84,10
"E05000510 : Newbury",5244,1867,1874,1133,334,36
"E05000511 : Roding",4703,2163,1539,809,170,22
"E05000512 : Seven Kings",4773,1560,1785,1059,328,41
"E05000513 : Snaresbrook",5435,2693,1675,866,185,16
"E05000514 : Valentines",4784,1428,1887,1082,332,55
"E05000515 : Wanstead",4605,2276,1416,683,206,24
"E05000516 : Barnes",4296,2501,1178,492,113,12
"E05000517 : East Sheen",4151,2685,1029,344,82,11
"E05000518 : Fulwell and Hampton Hill",4252,2552,1132,440,114,14
"E05000519 : Ham, Petersham and Richmond Riverside",4450,2310,1359,609,150,22
"E05000520 : Hampton",4174,2323,1200,538,105,8
"E05000521 : Hampton North",4086,1891,1291,694,194,16
"E05000522 : Hampton Wick",4455,2480,1262,538,154,21
"E05000523 : Heathfield",3918,1620,1306,769,199,24
"E05000524 : Kew",4964,3087,1325,412,126,14
"E05000525 : Mortlake and Barnes Common",4941,2940,1336,494,152,19
"E05000526 : North Richmond",4771,2723,1328,539,161,20
"E05000527 : St Margarets and North Twickenham",4599,3039,1108,388,58,6
"E05000528 : South Richmond",5168,3117,1486,458,90,17
"E05000529 : South Twickenham",4047,2611,1011,307,101,17
"E05000530 : Teddington",4616,2860,1229,429,89,9
"E05000531 : Twickenham Riverside",4853,2979,1358,403,99,14
"E05000532 : West Twickenham",4280,2387,1210,557,118,8
"E05000533 : Whitton",3814,1900,1174,583,132,25
"E05000555 : Beddington North",4037,1898,1339,645,144,11
"E05000556 : Beddington South",4094,1581,1452,812,221,28
"E05000557 : Belmont",4336,2238,1414,534,138,12
"E05000558 : Carshalton Central",4197,2168,1307,574,133,15
"E05000559 : Carshalton South and Clockhouse",3572,1985,1048,428,104,7
"E05000560 : Cheam",3914,2159,1224,434,89,8
"E05000561 : Nonsuch",4014,2004,1355,560,80,15
"E05000562 : St Helier",4595,1449,1601,1095,419,31
"E05000563 : Stonecot",3926,1793,1361,653,112,7
"E05000564 : Sutton Central",5203,2081,1734,1009,327,52
"E05000565 : Sutton North",4164,1815,1445,748,143,13
"E05000566 : Sutton South",4861,2292,1603,766,177,23
"E05000567 : Sutton West",4680,2377,1545,629,121,8
"E05000568 : The Wrythe",4183,1870,1402,724,166,21
"E05000569 : Wallington North",4514,2091,1512,708,172,31
"E05000570 : Wallington South",4485,1931,1530,797,207,20
"E05000571 : Wandle Valley",4730,1644,1735,987,324,40
"E05000572 : Worcester Park",4669,2260,1604,673,118,14
"E05000590 : Cann Hall",4988,1506,1818,1192,415,57
"E05000591 : Cathall",4530,1214,1670,1138,447,61
"E05000592 : Chapel End",5066,1961,1712,1054,307,32
"E05000593 : Chingford Green",4467,1789,1483,972,209,14
"E05000594 : Endlebury",4219,1721,1467,816,197,18
"E05000595 : Forest",4344,1465,1564,966,306,43
"E05000596 : Grove Green",5220,1877,1880,1099,332,32
"E05000597 : Hale End and Highams Park",4183,1759,1373,819,216,16
"E05000598 : Hatch Lane",4519,1700,1475,1013,295,36
"E05000599 : High Street",5553,1906,1992,1174,416,65
"E05000600 : Higham Hill",4864,1429,1710,1199,464,62
"E05000601 : Hoe Street",5417,1818,1848,1239,439,73
"E05000602 : Larkswood",4451,1512,1613,1023,273,30
"E05000603 : Lea Bridge",5597,1568,2029,1407,509,84
"E05000604 : Leyton",5207,1389,1953,1319,467,79
"E05000605 : Leytonstone",4830,1862,1761,881,278,48
"E05000606 : Markhouse",4864,1564,1694,1164,397,45
"E05000607 : Valley",4319,1489,1507,1042,257,24
"E05000608 : William Morris",4964,1890,1628,1041,360,45
"E05000609 : Wood Street",5259,1798,1743,1206,443,69
"E05002271 : Ascot",2228,1296,628,279,23,2
"E05002272 : Binfield with Warfield",3534,2244,902,333,51,4
"E05002273 : Bullbrook",2531,1106,842,475,102,6
"E05002274 : Central Sandhurst",2124,1200,618,250,51,5
"E05002275 : College Town",2055,1127,636,258,33,1
"E05002276 : Crown Wood",3381,1829,1002,430,109,11
"E05002277 : Crowthorne",2095,1168,626,254,43,4
"E05002278 : Great Hollands North",2188,1076,714,323,71,4
"E05002279 : Great Hollands South",1910,922,669,265,49,5
"E05002280 : Hanworth",3476,1678,1130,549,102,17
"E05002281 : Harmans Water",3420,1687,1059,517,137,20
"E05002282 : Little Sandhurst and Wellington",2006,1247,540,199,18,2
"E05002283 : Old Bracknell",2402,1122,773,397,95,15
"E05002284 : Owlsmoor",1997,1168,578,213,36,2
"E05002285 : Priestwood and Garth",3191,1348,1073,621,132,17
"E05002286 : Warfield Harvest Ride",3112,2200,724,160,28,0
"E05002287 : Wildridings and Central",2073,832,682,413,123,23
"E05002288 : Winkfield and Cranbourne",2155,1075,715,318,41,6
"E05002420 : Brunswick and Adelaide",5875,2444,2172,907,294,58
"E05002421 : Central Hove",5377,2213,1968,911,245,40
"E05002422 : East Brighton",6561,2113,2121,1646,593,88
"E05002423 : Goldsmid",7955,3629,2574,1288,400,64
"E05002424 : Hangleton and Knoll",6010,2203,2026,1341,391,49
"E05002425 : Hanover and Elm Grove",6501,3116,1980,1000,352,53
"E05002426 : Hollingdean and Stanmer",5290,1851,1662,1229,480,68
"E05002427 : Moulsecoomb and Bevendean",5892,1950,1982,1374,523,63
"E05002428 : North Portslade",4133,1737,1340,812,226,18
"E05002429 : Patcham",5797,2704,1853,1029,197,14
"E05002430 : Preston Park",6497,3547,1893,799,214,44
"E05002431 : Queen's Park",7982,2604,2629,1822,790,137
"E05002432 : Regency",5730,2144,2251,1000,278,57
"E05002433 : Rottingdean Coastal",6359,3125,2171,877,160,26
"E05002434 : St. Peter's and North Laine",8609,3635,2997,1358,504,115
"E05002435 : South Portslade",3903,1651,1265,761,203,23
"E05002436 : Hove Park",4086,2334,1238,427,80,7
"E05002437 : Westbourne",4626,2220,1350,743,247,66
"E05002438 : Wish",4125,2011,1196,724,175,19
"E05002439 : Withdean",6308,3453,1878,766,179,32
"E05002440 : Woodingdean",3924,1542,1385,814,173,10
"E05008479 : Arreton and Newchurch",1526,672,548,251,53,2
"E05008480 : Binstead and Fishbourne",1440,638,508,266,25,3
"E05008481 : Brading, St Helens and Bembridge",3203,1322,1156,609,106,10
"E05008482 : Carisbrooke",1483,657,479,265,74,8
"E05008483 : Central Wight",1499,632,550,268,47,2
"E05008484 : Chale, Niton and Whitwell",1227,521,446,201,53,6
"E05008485 : Cowes Medina",1908,924,584,301,92,7
"E05008486 : Cowes North",1459,739,464,220,34,2
"E05008487 : Cowes South and Northwood",1408,664,472,228,43,1
"E05008488 : Cowes West and Gurnard",1696,790,600,271,33,2
"E05008489 : East Cowes",1730,727,624,300,72,7
"E05008490 : Freshwater North",1200,387,463,294,44,12
"E05008491 : Freshwater South",1387,513,504,288,74,8
"E05008492 : Godshill and Wroxall",1425,510,518,330,64,3
"E05008493 : Havenstreet, Ashey and Haylands",1528,649,511,292,70,6
"E05008494 : Lake North",1736,549,610,472,97,8
"E05008495 : Lake South",1560,415,577,460,101,7
"E05008496 : Nettlestone and Seaview",1256,551,480,201,23,1
"E05008497 : Newport Central",1929,634,653,487,138,17
"E05008498 : Newport East",1325,349,467,375,125,9
"E05008499 : Newport North",1560,594,572,319,70,5
"E05008500 : Newport South",1549,612,503,336,93,5
"E05008501 : Newport West",1149,565,389,171,24,0
"E05008502 : Parkhurst",1286,575,419,229,55,8
"E05008503 : Ryde East",1605,650,497,352,91,15
"E05008504 : Ryde North East",1853,650,640,372,158,33
"E05008505 : Ryde North West",1620,624,545,331,100,20
"E05008506 : Ryde South",1889,639,586,458,192,14
"E05008507 : Ryde West",1532,592,526,315,94,5
"E05008508 : Sandown North",1262,455,429,285,79,14
"E05008509 : Sandown South",1738,582,655,372,110,19
"E05008510 : Shanklin Central",1708,629,615,367,81,16
"E05008511 : Shanklin South",1497,529,541,328,82,17
"E05008512 : Totland",1298,500,524,225,40,9
"E05008513 : Ventnor East",1512,491,552,352,102,15
"E05008514 : Ventnor West",1334,469,510,284,64,7
"E05008515 : West Wight",1523,667,530,276,46,4
"E05008516 : Whippingham and Osborne",1667,654,531,384,88,10
"E05008517 : Wootton Bridge",1578,615,580,325,55,3
"E05002249 : Chatham Central",6419,2181,2204,1407,561,66
"E05002250 : Cuxton and Halling",2211,1077,744,332,51,7
"E05002251 : Gillingham North",6925,2511,2394,1456,503,61
"E05002252 : Gillingham South",6669,2469,2247,1415,471,67
"E05002253 : Hempstead and Wigmore",3139,1684,1033,367,55,0
"E05002254 : Lordswood and Capstone",3705,1655,1219,665,158,8
"E05002255 : Luton and Wayfield",6055,1891,2111,1481,494,78
"E05002256 : Peninsula",5648,2137,1986,1217,276,32
"E05002257 : Princes Park",3996,1912,1254,638,186,6
"E05002258 : Rainham Central",4956,2348,1649,805,143,11
"E05002259 : Rainham North",3756,1623,1274,728,123,8
"E05002260 : Rainham South",5389,2636,1732,846,165,10
"E05002261 : River",3913,1662,1253,687,270,41
"E05002262 : Rochester East",4395,1808,1374,918,267,28
"E05002263 : Rochester South and Horsted",4952,2135,1751,896,157,13
"E05002264 : Rochester West",4541,2114,1510,698,203,16
"E05002265 : Strood North",5454,2334,1898,960,237,25
"E05002266 : Strood Rural",5407,2613,1699,885,197,13
"E05002267 : Strood South",6053,2213,2090,1321,394,35
"E05002268 : Twydall",5342,1814,1853,1310,336,29
"E05002269 : Walderslade",3803,1582,1298,738,174,11
"E05002270 : Watling",3481,1720,1079,544,129,9
"E05002397 : Bletchley and Fenny Stratford",5809,2168,2020,1282,300,39
"E05002398 : Bradwell",5039,1996,1739,1003,273,28
"E05002399 : Campbell Park",6606,2342,2486,1320,404,54
"E05002400 : Danesborough",1977,1079,610,250,36,2
"E05002401 : Denbigh",3243,1188,1194,705,147,9
"E05002402 : Eaton Manor",3206,1051,1113,772,257,13
"E05002403 : Emerson Valley",6579,4019,1743,634,172,11
"E05002404 : Furzton",3633,1854,1129,502,137,11
"E05002405 : Hanslope Park",2125,1176,644,263,41,1
"E05002406 : Linford North",3461,1627,1143,562,119,10
"E05002407 : Linford South",3914,1790,1224,729,157,14
"E05002408 : Loughton Park",6599,3725,1902,791,170,11
"E05002409 : Middleton",5834,3453,1722,515,131,13
"E05002410 : Newport Pagnell North",2925,1481,887,472,74,11
"E05002411 : Newport Pagnell South",3289,1797,984,436,63,9
"E05002412 : Olney",3670,2164,1013,434,54,5
"E05002413 : Sherington",1681,933,506,200,40,2
"E05002414 : Stantonbury",3750,1565,1271,721,178,15
"E05002415 : Stony Stratford",5163,2378,1723,847,185,30
"E05002416 : Walton Park",5839,3162,1836,656,163,22
"E05002417 : Whaddon",3445,1444,1161,695,137,8
"E05002418 : Wolverton",6278,2570,2071,1218,380,39
"E05002419 : Woughton",4519,1124,1557,1213,551,74
"E05002441 : Baffins",6102,2809,1993,1034,241,25
"E05002442 : Central Southsea",6371,3220,1911,964,247,29
"E05002443 : Charles Dickens",7699,1485,2681,2383,987,163
"E05002444 : Copnor",5299,2575,1721,772,218,13
"E05002445 : Cosham",5604,2294,1817,1131,334,28
"E05002446 : Drayton and Farlington",5260,2682,1720,750,100,8
"E05002447 : Eastney and Craneswater",6061,3017,1904,861,249,30
"E05002448 : Fratton",6509,2740,2078,1260,374,57
"E05002449 : Hilsea",5620,2433,1866,1027,272,22
"E05002450 : Milton",5899,2842,1791,996,251,19
"E05002451 : Nelson",6141,2266,2067,1321,446,41
"E05002452 : Paulsgrove",5586,1880,1859,1351,459,37
"E05002453 : St Jude",6232,2922,2094,919,257,40
"E05002454 : St Thomas",7090,2614,2612,1336,459,69
"E05002319 : Abbey",6331,2657,2308,1013,299,54
"E05002320 : Battle",4480,1922,1480,769,276,33
"E05002321 : Caversham",4225,2274,1161,612,162,16
"E05002322 : Church",3287,1187,1160,722,200,18
"E05002323 : Katesgrove",4230,1924,1431,622,217,36
"E05002324 : Kentwood",3746,1829,1196,580,132,9
"E05002325 : Mapledurham",1179,704,374,95,6,0
"E05002326 : Minster",4532,2105,1496,700,203,28
"E05002327 : Norcot",4260,1589,1462,901,279,29
"E05002328 : Park",3842,1985,1234,473,137,13
"E05002329 : Peppard",3843,2110,1181,495,54,3
"E05002330 : Redlands",3567,1804,1102,494,144,23
"E05002331 : Southcote",3582,1323,1201,798,236,24
"E05002332 : Thames",3647,2335,958,309,43,2
"E05002333 : Tilehurst",3715,1613,1228,731,134,9
"E05002334 : Whitley",4403,1515,1471,1012,361,44
"E05002335 : Baylis and Stoke",3334,864,1214,935,294,27
"E05002336 : Britwell",3648,1079,1344,880,310,35
"E05002337 : Central",3880,1073,1492,989,294,32
"E05002338 : Chalvey",4241,1134,1642,1067,356,42
"E05002339 : Cippenham Green",3641,1532,1264,697,139,9
"E05002340 : Cippenham Meadows",4589,1971,1545,796,248,29
"E05002341 : Colnbrook with Poyle",2533,906,996,470,146,15
"E05002342 : Farnham",3462,1024,1290,860,250,38
"E05002343 : Foxborough",3276,1259,1113,688,191,25
"E05002344 : Haymill",4198,1812,1440,743,179,24
"E05002345 : Kedermister",3445,1247,1204,739,226,29
"E05002346 : Langley St Mary's",3106,1376,1109,514,92,15
"E05002347 : Upton",3654,1345,1393,731,168,17
"E05002348 : Wexham Lea",3759,1111,1391,968,263,26
"E05002455 : Bargate",7948,3319,2719,1366,452,92
"E05002456 : Bassett",5495,2722,1794,806,159,14
"E05002457 : Bevois",6198,2180,2092,1313,531,82
"E05002458 : Bitterne",6044,1788,2114,1560,510,72
"E05002459 : Bitterne Park",6107,2713,2074,1011,266,43
"E05002460 : Coxford",5862,2130,1906,1360,431,35
"E05002461 : Freemantle",7347,3349,2392,1219,331,56
"E05002462 : Harefield",6081,2286,2062,1345,344,44
"E05002463 : Millbrook",6474,2489,2145,1372,427,41
"E05002464 : Peartree",5918,2472,1915,1172,322,37
"E05002465 : Portswood",5934,2664,1957,1006,266,41
"E05002466 : Redbridge",6180,1906,2112,1588,527,47
"E05002467 : Shirley",5989,2629,1939,1113,277,31
"E05002468 : Sholing",6053,2555,2013,1217,228,40
"E05002469 : Swaythling",4650,1694,1556,995,354,51
"E05002470 : Woolston",5974,2220,2008,1248,446,52
"E05002289 : Aldermaston",1192,605,375,171,40,1
"E05002290 : Basildon",1200,786,322,75,17,0
"E05002291 : Birch Copse",2951,1569,973,359,50,0
"E05002292 : Bucklebury",2387,1486,629,232,38,2
"E05002293 : Burghfield",2272,1349,623,252,44,4
"E05002294 : Calcot",3551,1774,1157,501,107,12
"E05002295 : Chieveley",938,600,250,81,6,1
"E05002296 : Clay Hill",2785,1376,881,398,118,12
"E05002297 : Cold Ash",1090,646,336,92,15,1
"E05002298 : Compton",1224,726,321,143,33,1
"E05002299 : Downlands",1239,759,332,125,23,0
"E05002300 : Falkland",2511,1474,742,268,23,4
"E05002301 : Greenham",2271,1139,713,301,107,11
"E05002302 : Hungerford",2600,1294,864,368,68,6
"E05002303 : Kintbury",2046,1184,606,222,30,4
"E05002304 : Lambourn Valley",2416,1196,779,364,71,6
"E05002305 : Mortimer",2326,1269,675,315,62,5
"E05002306 : Northcroft",2470,1147,770,433,106,14
"E05002307 : Pangbourne",1227,698,363,149,16,1
"E05002308 : Purley on Thames",2642,1557,786,262,36,1
"E05002309 : St Johns",2474,1273,779,347,70,5
"E05002310 : Speen",2362,1176,755,361,62,8
"E05002311 : Sulhamstead",1188,634,365,154,33,2
"E05002312 : Thatcham Central",2619,1305,753,443,107,11
"E05002313 : Thatcham North",2194,1236,615,250,86,7
"E05002314 : Thatcham South and Crookham",2754,1549,773,373,53,6
"E05002315 : Thatcham West",2504,1294,776,368,58,8
"E05002316 : Theale",1252,587,396,211,54,4
"E05002317 : Victoria",2587,1194,799,452,119,23
"E05002318 : Westwood",1068,570,334,148,15,1
"E05002349 : Ascot and Cheapside",2146,1296,635,190,23,2
"E05002350 : Belmont",3289,1912,900,359,108,10
"E05002351 : Bisham and Cookham",2864,1703,796,310,52,3
"E05002352 : Boyn Hill",3021,1644,932,373,66,6
"E05002353 : Bray",2966,1759,874,285,42,6
"E05002354 : Castle Without",3375,1982,947,357,81,8
"E05002355 : Clewer East",2198,1172,621,335,61,9
"E05002356 : Clewer North",3223,1456,1118,545,95,9
"E05002357 : Clewer South",2207,979,729,420,75,4
"E05002358 : Cox Green",2902,1649,824,361,62,6
"E05002359 : Datchet",2032,1059,654,260,55,4
"E05002360 : Eton and Castle",817,520,206,75,15,1
"E05002361 : Eton Wick",992,464,331,180,16,1
"E05002362 : Furze Platt",2888,1471,924,415,70,8
"E05002363 : Horton and Wraysbury",1996,1024,662,277,31,2
"E05002364 : Hurley and Walthams",2497,1345,732,343,69,8
"E05002365 : Maidenhead Riverside",3173,1771,962,359,73,8
"E05002366 : Old Windsor",2057,1098,636,280,37,6
"E05002367 : Oldfield",3941,1799,1310,658,156,18
"E05002368 : Park",2094,1253,611,195,33,2
"E05002369 : Pinkneys Green",2813,1538,862,349,59,5
"E05002370 : Sunningdale",2135,1272,612,219,29,3
"E05002371 : Sunninghill and South Ascot",2723,1596,767,301,56,3
"E05002372 : Arborfield",1094,680,293,100,16,5
"E05002373 : Barkham",1226,809,315,91,10,1
"E05002374 : Bulmershe and Whitegates",3171,1409,1046,609,99,8
"E05002375 : Charvil",1097,710,288,84,14,1
"E05002376 : Coronation",2176,1269,664,212,29,2
"E05002377 : Emmbrook",3316,2002,965,301,43,5
"E05002378 : Evendons",3325,2231,818,239,35,2
"E05002379 : Finchampstead North",2072,1350,558,149,13,2
"E05002380 : Finchampstead South",2113,1282,535,254,41,1
"E05002381 : Hawkedon",3770,2316,1089,305,54,6
"E05002382 : Hillside",3187,1976,904,287,18,2
"E05002383 : Hurst",1107,705,294,97,10,1
"E05002384 : Loddon",3542,1989,1031,438,76,8
"E05002385 : Maiden Erlegh",3309,1904,1000,365,38,2
"E05002386 : Norreys",3712,2028,1074,493,108,9
"E05002387 : Remenham, Wargrave and Ruscombe",2272,1364,607,245,52,4
"E05002388 : Shinfield North",1338,713,417,161,42,5
"E05002389 : Shinfield South",2664,1612,724,277,50,1
"E05002390 : Sonning",1240,726,349,141,24,0
"E05002391 : South Lake",2019,1091,671,221,35,1
"E05002392 : Swallowfield",1193,677,353,136,24,3
"E05002393 : Twyford",2537,1522,731,255,28,1
"E05002394 : Wescott",2276,1366,631,239,37,3
"E05002395 : Winnersh",3549,2165,938,358,77,11
"E05002396 : Wokingham Without",3027,1956,831,210,25,5
"E05002594 : Aston Clinton",3837,2165,1178,432,56,6
"E05002595 : Aylesbury Central",1859,815,630,316,86,12
"E05002596 : Bedgrove",3472,1801,1154,446,65,6
"E05002597 : Bierton",708,381,218,95,14,0
"E05002598 : Brill",1068,595,325,125,22,1
"E05002599 : Buckingham North",2616,1336,805,415,58,2
"E05002600 : Buckingham South",2125,1271,594,229,25,6
"E05002601 : Cheddington",1227,718,356,135,18,0
"E05002602 : Coldharbour",3887,2263,1063,419,121,21
"E05002603 : Edlesborough",1178,690,349,127,12,0
"E05002604 : Elmhurst and Watermead",3707,1644,1253,618,175,17
"E05002605 : Gatehouse",2440,898,826,540,147,29
"E05002606 : Great Brickhill",1238,696,361,160,18,3
"E05002607 : Great Horwood",1187,716,318,125,27,1
"E05002608 : Grendon Underwood",998,572,294,115,15,2
"E05002609 : Haddenham",3387,1969,985,375,58,0
"E05002610 : Long Crendon",2137,1249,591,268,28,1
"E05002611 : Luffield Abbey",954,537,302,97,17,1
"E05002612 : Mandeville and Elm Farm",3650,1856,1243,455,86,10
"E05002613 : Marsh Gibbon",1264,778,336,126,23,1
"E05002614 : Newton Longville",1021,549,300,155,16,1
"E05002615 : Oakfield",2209,1110,709,331,56,3
"E05002616 : Pitstone",1418,818,404,166,28,2
"E05002617 : Quainton",1009,590,289,115,13,2
"E05002618 : Quarrendon",2044,787,711,406,129,11
"E05002619 : Southcourt",2506,820,842,652,170,22
"E05002620 : Steeple Claydon",1110,643,295,150,20,2
"E05002621 : Stewkley",1173,681,334,140,18,0
"E05002622 : Tingewick",1332,737,396,168,28,3
"E05002623 : Waddesdon",1013,567,278,142,22,4
"E05002624 : Walton Court and Hawkslade",2395,1076,787,406,116,10
"E05002625 : Weedon",1250,735,365,124,23,3
"E05002626 : Wendover",3341,1903,928,445,61,4
"E05002627 : Wing",1099,603,322,143,28,3
"E05002628 : Wingrave",1062,674,271,99,17,1
"E05002629 : Winslow",2485,1295,764,361,60,5
"E05002630 : Amersham Common",1025,623,285,95,21,1
"E05002631 : Amersham-on-the-Hill",2004,1008,634,311,44,7
"E05002632 : Amersham Town",1975,1142,567,221,38,7
"E05002633 : Asheridge Vale and Lowndes",1919,983,546,299,83,8
"E05002634 : Ashley Green, Latimer and Chenies",883,531,234,98,19,1
"E05002635 : Austenwood",787,542,210,31,4,0
"E05002636 : Ballinger, South Heath and Chartridge",887,526,280,73,8,0
"E05002637 : Central",1729,985,490,211,39,4
"E05002638 : Chalfont Common",1489,904,437,130,14,4
"E05002639 : Chalfont St Giles",2823,1751,822,219,29,2
"E05002640 : Chesham Bois and Weedon Hill",1978,1302,530,131,15,0
"E05002641 : Cholesbury, The Lee and Bellingdon",904,550,261,81,12,0
"E05002642 : Gold Hill",879,468,255,129,26,1
