QS102EW - Population density,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,
,,
population,All usual residents,
E05004144 : West Mersea,"7,183",6.8
E05004145 : Wivenhoe Cross,"4,623",9.5
E05004146 : Wivenhoe Quay,"5,402",22.7
"E05004147 : Broadley Common, Epping Upland and Nazeing","1,970",0.7
E05004148 : Buckhurst Hill East,"4,616",38.7
E05004149 : Buckhurst Hill West,"6,764",25.4
E05004150 : Chigwell Row,"2,207",5.8
E05004151 : Chigwell Village,"4,160",4.1
"E05004152 : Chipping Ongar, Greensted and Marden Ash","4,046",6.5
E05004153 : Epping Hemnall,"6,192",13.1
E05004154 : Epping Lindsey and Thornwood Common,"6,238",7.8
E05004155 : Grange Hill,"6,620",38.8
"E05004156 : Hastingwood, Matching and Sheering Village","2,138",0.8
"E05004157 : High Ongar, Willingale and The Rodings","2,237",0.5
E05004158 : Lambourne,"2,013",1.9
E05004159 : Loughton Alderton,"4,526",43.5
E05004160 : Loughton Broadway,"4,233",17.7
E05004161 : Loughton Fairmead,"4,317",56.0
E05004162 : Loughton Forest,"4,353",16.6
E05004163 : Loughton Roding,"4,706",38.6
E05004164 : Loughton St John's,"4,359",7.7
E05004165 : Loughton St Mary's,"4,612",32.9
E05004166 : Lower Nazeing,"3,874",3.9
E05004167 : Lower Sheering,"2,014",3.8
E05004168 : Moreton and Fyfield,"2,122",0.5
E05004169 : North Weald Bassett,"4,477",6.8
E05004170 : Passingford,"2,256",0.5
E05004171 : Roydon,"2,193",3.1
E05004172 : Shelley,"2,205",7.9
E05004173 : Theydon Bois,"4,062",4.9
E05004174 : Waltham Abbey High Beach,"2,236",1.0
E05004175 : Waltham Abbey Honey Lane,"6,267",30.2
E05004176 : Waltham Abbey North East,"3,991",3.0
E05004177 : Waltham Abbey Paternoster,"4,406",33.9
E05004178 : Waltham Abbey South West,"4,249",13.0
E05004179 : Bush Fair,"7,723",49.9
E05004180 : Church Langley,"8,895",55.2
E05004181 : Great Parndon,"6,543",38.3
E05004182 : Harlow Common,"7,360",38.7
E05004183 : Little Parndon and Hare Street,"7,957",14.2
E05004184 : Mark Hall,"7,184",19.8
E05004185 : Netteswell,"7,423",30.3
E05004186 : Old Harlow,"6,968",11.6
E05004187 : Staple Tye,"7,227",49.8
E05004188 : Sumners and Kingsmoor,"7,120",28.2
E05004189 : Toddbrook,"7,544",36.1
E05004190 : Althorne,"4,128",1.1
E05004191 : Burnham-on-Crouch North,"3,713",1.9
E05004192 : Burnham-on-Crouch South,"3,958",17.0
E05004193 : Great Totham,"3,660",1.2
E05004194 : Heybridge East,"4,023",7.8
E05004195 : Heybridge West,"4,152",24.7
E05004196 : Maldon East,"2,189",6.4
E05004197 : Maldon North,"4,239",9.9
E05004198 : Maldon South,"4,015",23.2
E05004199 : Maldon West,"3,777",13.3
E05004200 : Mayland,"4,360",1.6
E05004201 : Purleigh,"3,419",0.8
E05004202 : Southminster,"4,272",1.6
E05004203 : Tillingham,"2,182",0.4
E05004204 : Tollesbury,"1,977",1.6
E05004205 : Tolleshunt D'Arcy,"4,065",0.9
E05004206 : Wickham Bishops and Woodham,"3,500",0.9
E05004207 : Ashingdon and Canewdon,"4,514",0.8
E05004208 : Barling and Sutton,"1,876",0.9
E05004209 : Downhall and Rawreth,"4,843",3.8
E05004210 : Foulness and Great Wakering,"5,738",1.5
E05004211 : Grange,"3,739",46.0
E05004212 : Hawkwell North,"4,536",31.1
E05004213 : Hawkwell South,"4,249",31.4
E05004214 : Hawkwell West,"4,134",11.3
E05004215 : Hockley Central,"6,526",46.5
E05004216 : Hockley North,"2,120",16.9
E05004217 : Hockley West,"2,096",4.6
E05004218 : Hullbridge,"6,527",8.3
E05004219 : Lodge,"4,088",28.9
E05004220 : Rayleigh Central,"4,255",58.9
E05004221 : Rochford,"7,695",6.7
E05004222 : Sweyne Park,"4,415",47.9
E05004223 : Trinity,"3,697",14.8
E05004224 : Wheatley,"4,191",16.7
E05004225 : Whitehouse,"4,048",25.1
E05004226 : Alresford,"2,009",3.0
E05004227 : Alton Park,"4,841",67.4
E05004228 : Ardleigh and Little Bromley,"2,311",0.8
E05004229 : Beaumont and Thorpe,"2,300",0.7
E05004230 : Bockings Elm,"4,549",9.7
"E05004231 : Bradfield, Wrabness and Wix","2,233",0.9
E05004232 : Brightlingsea,"8,076",7.1
E05004233 : Burrsville,"2,027",5.7
E05004234 : Frinton,"4,002",20.0
E05004235 : Golf Green,"4,799",14.5
E05004236 : Great and Little Oakley,"2,188",1.2
E05004237 : Great Bentley,"2,253",1.7
E05004238 : Hamford,"3,847",28.6
E05004239 : Harwich East,"2,676",36.4
E05004240 : Harwich East Central,"5,027",37.5
E05004241 : Harwich West,"4,958",20.3
E05004242 : Harwich West Central,"5,023",26.4
E05004243 : Haven,"2,051",14.1
E05004244 : Holland and Kirby,"4,724",3.2
E05004245 : Homelands,"1,900",14.3
E05004246 : Lawford,"4,302",3.9
E05004247 : Little Clacton and Weeley,"4,590",2.7
"E05004248 : Manningtree, Mistley, Little Bentley and Tendring","4,603",1.6
E05004249 : Peter Bruff,"4,436",51.7
E05004250 : Pier,"4,836",60.1
E05004251 : Ramsey and Parkeston,"2,343",1.5
E05004252 : Rush Green,"4,787",26.5
E05004253 : St Bartholomews,"4,390",33.8
E05004254 : St James,"4,200",21.6
E05004255 : St Johns,"4,662",18.4
E05004256 : St Marys,"5,018",47.3
E05004257 : St Osyth and Point Clear,"4,277",1.3
E05004258 : St Pauls,"4,751",24.8
"E05004259 : Thorrington, Frating, Elmstead and Great Bromley","4,687",1.2
E05004260 : Walton,"4,372",8.1
E05004261 : Ashdon,"1,736",0.5
E05004262 : Barnston and High Easter,"1,701",0.6
E05008708 : Birchanger,"1,589",3.8
E05008709 : Broad Oak and the Hallingburys,"3,571",0.9
E05004265 : Clavering,"1,461",0.8
E05004266 : Elsenham and Henham,"3,679",1.6
E05004267 : Felsted,"5,525",1.8
E05004268 : Great Dunmow North,"3,878",3.6
E05004269 : Great Dunmow South,"4,952",3.9
E05004270 : Hatfield Heath,"1,930",1.8
E05004271 : Littlebury,"1,708",0.5
E05004272 : Newport,"3,443",1.3
E05004273 : Saffron Walden Audley,"5,034",8.2
E05008710 : Saffron Walden Castle,"4,795",3.2
E05004275 : Saffron Walden Shire,"5,675",15.8
E05004276 : Stansted North,"3,307",2.0
E05008711 : Stansted South,"3,153",3.7
E05004278 : Stebbing,"1,560",0.6
E05004279 : Stort Valley,"1,552",0.6
E05008712 : Takeley and the Canfields,"4,716",1.6
E05004281 : Thaxted,"3,512",0.9
E05008713 : The Chesterfords,"1,709",1.0
E05004283 : The Eastons,"1,577",0.5
E05004284 : The Rodings,"1,853",0.6
E05004285 : The Sampfords,"1,900",0.4
E05004286 : Wenden Lofts,"1,520",0.4
E05004287 : Wimbish and Debden,"2,407",0.7
E05004678 : Broxbourne,"6,238",15.2
E05004679 : Bury Green,"6,336",13.2
E05004680 : Cheshunt Central,"7,646",47.2
E05004681 : Cheshunt North,"7,446",37.8
E05004682 : Flamstead End,"7,192",8.9
E05004683 : Goffs Oak,"8,172",7.6
E05004684 : Hoddesdon North,"7,181",41.9
E05004685 : Hoddesdon Town,"7,240",9.9
E05004686 : Rosedale,"4,464",59.0
E05004687 : Rye Park,"7,187",31.4
E05004688 : Theobalds,"7,337",36.7
E05004689 : Waltham Cross,"7,407",34.9
E05004690 : Wormley & Turnford,"9,763",24.2
E05004691 : Adeyfield East,"5,621",14.2
E05004692 : Adeyfield West,"5,390",48.2
E05004693 : Aldbury and Wigginton,"2,447",1.6
E05004694 : Apsley and Corner Hall,"9,003",32.0
E05004695 : Ashridge,"2,671",1.5
E05004696 : Bennetts End,"5,904",57.2
E05004697 : Berkhamsted Castle,"6,015",11.8
E05004698 : Berkhamsted East,"5,917",11.3
E05004699 : Berkhamsted West,"6,083",24.7
"E05004700 : Bovingdon, Flaunden and Chipperfield","8,999",3.0
E05004701 : Boxmoor,"8,107",38.5
E05004702 : Chaulden and Warners End,"9,146",21.7
E05004703 : Gadebridge,"5,655",25.4
E05004704 : Grovehill,"7,789",33.3
E05004705 : Hemel Hempstead Town,"5,684",39.6
E05004706 : Highfield,"5,727",47.5
E05004707 : Kings Langley,"5,214",6.3
E05004708 : Leverstock Green,"9,182",38.2
E05004709 : Nash Mills,"2,813",14.2
E05004710 : Northchurch,"2,813",1.9
E05004711 : Tring Central,"5,434",20.4
E05004712 : Tring East,"3,232",2.6
E05004713 : Tring West and Rural,"4,823",2.4
E05004714 : Watling,"5,413",1.1
E05004715 : Woodhall Farm,"5,765",65.3
E05004716 : Bishop's Stortford All Saints,"8,000",28.4
E05004717 : Bishop's Stortford Central,"9,829",52.1
E05004718 : Bishop's Stortford Meads,"5,698",16.0
E05004719 : Bishop's Stortford Silverleys,"5,507",10.4
E05004720 : Bishop's Stortford South,"8,804",25.1
E05004721 : Braughing,"2,540",0.5
E05004722 : Buntingford,"5,378",2.7
E05004723 : Datchworth & Aston,"2,395",1.9
E05004724 : Great Amwell,"2,878",6.6
E05004725 : Hertford Bengeo,"7,456",11.0
E05004726 : Hertford Castle,"8,310",12.5
E05004727 : Hertford Heath,"3,245",1.6
E05004728 : Hertford Kingsmead,"5,453",27.7
E05004729 : Hertford Rural North,"2,277",0.8
E05004730 : Hertford Rural South,"2,514",0.8
E05004731 : Hertford Sele,"5,564",20.2
E05004732 : Hunsdon,"2,771",0.8
E05004733 : Little Hadham,"2,468",0.6
E05004734 : Mundens and Cottered,"2,497",0.5
E05004735 : Much Hadham,"2,862",0.8
E05004736 : Puckeridge,"2,653",7.6
E05004737 : Sawbridgeworth,"8,458",8.5
E05004738 : Stanstead Abbots,"3,077",2.8
E05004739 : Thundridge & Standon,"3,088",0.9
E05004740 : Walkern,"2,828",0.8
E05004741 : Ware Chadwell,"3,030",13.0
E05004742 : Ware Christchurch,"5,140",33.2
E05004743 : Ware St Mary's,"5,241",33.1
E05004744 : Ware Trinity,"5,388",58.4
E05004745 : Watton-at-Stone,"2,338",1.6
E05004746 : Aldenham East,"4,939",6.8
E05004747 : Aldenham West,"4,876",3.3
E05004748 : Borehamwood Brookmeadow,"7,928",47.1
E05004749 : Borehamwood Cowley Hill,"8,439",39.7
E05004750 : Borehamwood Hillside,"9,682",42.5
E05004751 : Borehamwood Kenilworth,"5,906",28.2
E05004752 : Bushey Heath,"6,713",12.0
E05004753 : Bushey North,"6,727",13.1
E05004754 : Bushey Park,"4,742",24.3
E05004755 : Bushey St James,"7,581",25.0
E05004756 : Elstree,"5,110",9.2
E05004757 : Potters Bar Furzefield,"6,663",13.7
E05004758 : Potters Bar Oakmere,"7,344",23.7
E05004759 : Potters Bar Parkfield,"7,875",11.1
E05004760 : Shenley,"5,506",1.6
E05004761 : Arbury,"2,696",0.7
E05004762 : Baldock East,"2,846",40.6
E05004763 : Baldock Town,"7,434",29.5
E05004764 : Cadwell,"2,194",2.8
E05004765 : Chesfield,"7,346",5.3
E05004766 : Codicote,"2,593",4.9
E05004767 : Ermine,"2,608",0.4
E05004768 : Hitchin Bearton,"8,489",22.2
E05004769 : Hitchin Highbury,"7,762",35.4
E05004770 : Hitchin Oughton,"5,085",37.5
E05004771 : Hitchin Priory,"4,388",9.3
E05004772 : Hitchin Walsworth,"7,877",22.3
"E05004773 : Hitchwood, Offa and Hoo","7,261",0.7
E05004774 : Kimpton,"2,167",1.5
E05004775 : Knebworth,"5,247",2.7
E05004776 : Letchworth East,"5,818",20.2
E05004777 : Letchworth Grange,"7,117",14.5
E05004778 : Letchworth South East,"7,566",12.8
E05004779 : Letchworth South West,"7,515",16.3
E05004780 : Letchworth Wilbury,"5,233",29.2
E05004781 : Royston Heath,"4,919",12.4
E05004782 : Royston Meridian,"5,432",18.0
E05004783 : Royston Palace,"5,430",37.0
E05004784 : Weston and Sandon,"2,091",0.3
E05004785 : Ashley,"7,892",61.8
E05004786 : Batchwood,"7,703",35.9
E05004787 : Clarence,"6,885",43.1
E05004788 : Colney Heath,"5,962",5.3
E05004789 : Cunningham,"6,614",28.0
E05004790 : Harpenden East,"7,691",28.9
E05004791 : Harpenden North,"7,239",21.9
E05004792 : Harpenden South,"6,775",18.2
E05004793 : Harpenden West,"7,743",25.0
E05004794 : London Colney,"9,507",18.5
E05004795 : Marshalswick North,"6,497",33.3
E05004796 : Marshalswick South,"7,338",26.6
E05004797 : Park Street,"7,362",6.2
E05004798 : Redbourn,"6,226",1.3
E05004799 : St Peters,"7,602",59.2
E05004800 : St Stephen,"6,503",5.7
E05004801 : Sandridge,"4,954",3.7
E05004802 : Sopwell,"7,357",24.1
E05004803 : Verulam,"6,404",17.7
E05004804 : Wheathampstead,"6,410",2.5
E05004805 : Bandley Hill,"6,658",49.2
E05004806 : Bedwell,"7,015",27.1
E05004807 : Chells,"6,779",48.5
E05004808 : Longmeadow,"5,910",26.5
E05004809 : Manor,"6,326",49.5
E05004810 : Martins Wood,"6,329",61.6
E05004811 : Old Town,"7,922",38.5
E05004812 : Pin Green,"6,088",45.6
E05004813 : Roebuck,"6,395",19.5
E05004814 : St Nicholas,"6,746",57.5
E05004815 : Shephall,"6,210",36.6
E05004816 : Symonds Green,"5,795",18.2
E05004817 : Woodfield,"5,784",17.2
E05004818 : Abbots Langley,"4,778",19.9
E05004819 : Ashridge,"3,861",30.1
E05004820 : Bedmond & Primrose Hill,"4,037",5.4
E05004821 : Carpenders Park,"4,861",20.7
E05004822 : Chorleywood East,"4,172",9.2
E05004823 : Chorleywood West,"5,567",11.9
E05004824 : Croxley Green,"5,515",28.6
E05004825 : Croxley Green North,"3,321",31.0
E05004826 : Croxley Green South,"3,726",18.6
E05004827 : Hayling,"3,693",30.8
E05004828 : Langleybury,"5,147",10.3
E05004829 : Leavesden,"5,612",15.6
E05004830 : Maple Cross & Mill End,"5,602",5.1
E05004831 : Moor Park & Eastbury,"5,532",9.8
E05004832 : Northwick,"5,116",45.5
E05004833 : Oxhey Hall,"3,336",15.2
E05004834 : Penn,"3,549",47.0
E05004835 : Rickmansworth,"4,483",5.0
E05004836 : Rickmansworth West,"3,560",31.4
E05004837 : Sarratt,"1,849",0.9
E05004838 : Callowland,"7,444",88.9
E05004839 : Central,"8,143",42.4
E05004840 : Holywell,"8,626",44.8
E05004841 : Leggatts,"7,484",55.2
E05004842 : Meriden,"7,832",39.3
E05004843 : Nascot,"7,606",42.5
E05004844 : Oxhey,"6,752",44.3
E05004845 : Park,"7,778",18.1
E05004846 : Stanborough,"7,195",51.8
E05004847 : Tudor,"6,100",34.7
E05004848 : Vicarage,"8,258",87.0
E05004849 : Woodside,"7,083",42.3
E05004850 : Brookmans Park and Little Heath,"5,874",2.8
E05004851 : Haldens,"6,729",23.7
E05004852 : Handside,"6,806",18.9
E05004853 : Hatfield Central,"7,301",37.6
E05004854 : Hatfield East,"6,697",3.1
E05004855 : Hatfield South,"7,644",47.2
E05004856 : Hatfield Villages,"8,442",5.5
E05004857 : Hatfield West,"9,004",36.7
E05004858 : Hollybush,"6,950",46.5
E05004859 : Howlands,"5,862",29.8
E05004860 : Northaw and Cuffley,"5,181",3.4
E05004861 : Panshanger,"6,427",31.2
E05004862 : Peartree,"7,922",34.9
E05004863 : Sherrards,"5,923",19.2
E05004864 : Welham Green,"3,741",3.4
E05004865 : Welwyn East,"5,995",6.7
E05004866 : Welwyn West,"4,037",3.2
E05005721 : All Saints,"2,350",0.6
E05005722 : Buckenham,"1,730",0.8
E05005723 : Burgh and Haverscroft,"3,760",3.5
E05005724 : Conifer,"2,078",0.2
E05005725 : Dereham-Central,"6,515",15.8
E05005726 : Dereham-Humbletoft,"2,758",7.4
E05005727 : Dereham-Neatherd,"4,426",3.8
E05005728 : Dereham-Toftwood,"4,910",25.1
E05005729 : East Guiltcross,"2,242",0.5
E05005730 : Eynsford,"2,261",0.7
E05005731 : Haggard de Toni,"2,207",0.7
E05005732 : Harling and Heathlands,"4,302",0.4
E05005733 : Hermitage,"2,163",0.4
E05005734 : Launditch,"2,112",0.4
E05005735 : Mid Forest,"2,013",0.2
E05005736 : Nar Valley,"2,220",0.4
E05005737 : Necton,"1,923",1.2
E05005738 : Queen's,"7,500",3.7
E05005739 : Shipdham,"2,057",1.1
E05005740 : Springvale and Scarning,"4,926",1.0
E05005741 : Swaffham,"7,258",2.5
E05005742 : Swanton Morley,"2,585",1.0
E05005743 : Taverner,"2,240",0.8
E05005744 : Templar,"4,312",1.4
E05005745 : Thetford-Abbey,"5,910",6.9
E05005746 : Thetford-Castle,"2,373",27.0
E05005747 : Thetford-Guildhall,"8,262",44.7
E05005748 : Thetford-Saxon,"7,795",4.3
E05005749 : Two Rivers,"4,180",1.1
E05005750 : Upper Wensum,"2,265",0.5
E05005751 : Upper Yare,"2,460",0.4
E05005752 : Watton,"7,202",10.0
E05005753 : Wayland,"2,148",0.3
E05005754 : Weeting,"2,463",0.4
E05005755 : West Guiltcross,"2,208",0.6
E05005756 : Wissey,"2,377",0.7
E05005757 : Acle,"2,824",3.0
E05005758 : Aylsham,"7,378",1.5
E05005759 : Blofield with South Walsham,"5,594",1.1
E05005760 : Brundall,"5,790",1.6
E05005761 : Burlingham,"2,643",2.8
E05005762 : Buxton,"2,615",1.3
E05005763 : Coltishall,"2,687",1.2
E05005764 : Drayton North,"3,102",12.9
E05005765 : Drayton South,"2,387",7.5
E05005766 : Eynesford,"3,299",0.5
E05005767 : Great Witchingham,"2,511",0.3
E05005768 : Hellesdon North West,"5,807",18.0
E05005769 : Hellesdon South East,"5,150",25.7
E05005770 : Hevingham,"2,829",1.1
E05005771 : Horsford and Felthorpe,"4,908",1.9
E05005772 : Marshes,"3,245",0.6
E05005773 : Old Catton and Sprowston West,"8,458",26.2
E05005774 : Plumstead,"3,135",2.8
E05005775 : Reepham,"2,709",1.4
E05005776 : Spixworth with St Faiths,"5,442",3.7
E05005777 : Sprowston Central,"5,483",17.4
E05005778 : Sprowston East,"6,858",12.7
E05005779 : Taverham North,"5,437",17.4
E05005780 : Taverham South,"4,705",8.5
E05005781 : Thorpe St Andrew North West,"7,296",25.4
E05005782 : Thorpe St Andrew South East,"7,260",17.2
E05005783 : Wroxham,"5,094",1.9
E05005784 : Bradwell North,"6,448",13.4
E05005785 : Bradwell South and Hopton,"6,706",6.7
E05005786 : Caister North,"4,551",30.9
E05005787 : Caister South,"4,525",4.9
E05005788 : Central and Northgate,"8,298",11.3
E05005789 : Claydon,"7,689",48.9
E05005790 : East Flegg,"4,842",2.3
E05005791 : Fleggburgh,"2,426",0.6
E05005792 : Gorleston,"5,548",29.7
E05005793 : Lothingland,"5,479",2.5
E05005794 : Magdalen,"7,256",43.1
E05005795 : Nelson,"8,681",34.0
E05005796 : Ormesby,"4,276",3.7
E05005797 : St Andrews,"5,131",50.1
E05005798 : Southtown and Cobholm,"5,657",19.9
E05005799 : West Flegg,"5,118",1.6
E05005800 : Yarmouth North,"4,646",22.0
E05005801 : Airfield,"5,536",0.8
E05005802 : Brancaster,"1,293",0.3
E05005803 : Burnham,"1,714",0.3
E05005804 : Clenchwarton,"2,171",1.7
E05005805 : Denton,"7,931",0.5
E05005806 : Dersingham,"4,640",3.2
E05005807 : Docking,"1,937",0.3
E05005808 : Downham Old Town,"2,769",27.3
E05005809 : East Downham,"3,129",22.4
E05005810 : Emneth with Outwell,"4,700",2.0
E05005811 : Fairstead,"6,479",55.0
E05005812 : Gayton,"2,240",0.5
E05005813 : Gaywood Chase,"5,115",28.5
E05005814 : Gaywood North Bank,"7,681",30.0
E05005815 : Grimston,"2,337",1.0
E05005816 : Heacham,"4,750",3.5
E05005817 : Hilgay with Denver,"2,409",0.4
E05005818 : Hunstanton,"5,420",1.9
E05005819 : Mershe Lande,"2,485",0.8
E05005820 : North Downham,"2,017",18.4
E05005821 : North Lynn,"6,072",13.2
E05005822 : North Wootton,"2,445",1.2
E05005823 : Old Gaywood,"1,907",28.7
E05005824 : Priory,"2,431",0.4
E05005825 : Rudham,"2,128",0.3
E05005826 : St Lawrence,"2,467",0.9
E05005827 : St Margarets with St Nicholas,"4,861",40.2
E05005828 : Snettisham,"4,032",0.7
E05005829 : South and West Lynn,"4,971",3.7
E05005830 : South Downham,"2,079",12.2
E05005831 : South Wootton,"4,463",2.6
E05005832 : Spellowfields,"4,698",0.8
E05005833 : Springwood,"2,027",10.9
E05005834 : Upwell and Delph,"4,827",0.5
E05005835 : Valley Hill,"2,256",0.2
E05005836 : Walpole,"2,322",1.0
E05005837 : Walton,"2,641",0.8
E05005838 : Watlington,"2,455",3.6
E05005839 : West Winch,"4,734",1.8
E05005840 : Wiggenhall,"2,102",0.6
E05005841 : Wimbotsham with Fincham,"2,504",0.4
E05005842 : Wissey,"2,276",0.8
E05005843 : Astley,"2,244",0.4
E05005844 : Briston,"2,439",2.0
E05008556 : Chaucer,"2,315",0.6
E05005846 : Corpusty,"2,322",0.4
E05005847 : Cromer Town,"3,648",15.2
E05005848 : Erpingham,"2,344",0.5
E05005849 : Gaunt,"2,456",0.8
E05005850 : Glaven Valley,"2,044",0.4
E05005851 : Happisburgh,"2,386",0.7
E05005852 : High Heath,"1,894",0.6
E05005853 : Holt,"3,810",3.1
E05005854 : Hoveton,"1,948",1.3
E05005855 : Lancaster North,"3,600",6.1
E05005856 : Lancaster South,"4,017",12.7
E05005857 : Mundesley,"4,191",2.4
E05005858 : North Walsham East,"4,203",8.4
E05005859 : North Walsham North,"4,190",19.1
E05005860 : North Walsham West,"4,241",4.2
E05005861 : Poppyland,"2,401",1.5
E05005862 : Priory,"3,908",0.4
E05005863 : Roughton,"2,231",0.8
E05005864 : Scottow,"2,934",1.0
E05005865 : St Benet,"2,130",0.7
E05005866 : Sheringham North,"3,583",19.8
E05005867 : Sheringham South,"3,784",19.9
E05005868 : Stalham and Sutton,"4,312",3.2
E05005869 : Suffield Park,"4,035",20.7
E05005870 : The Raynhams,"2,521",0.4
E05008557 : The Runtons,"2,125",1.8
E05005872 : Walsingham,"2,167",0.3
E05005873 : Waterside,"4,197",0.9
E05005874 : Waxham,"2,190",0.5
E05005875 : Wensum,"2,305",0.5
E05005876 : Worstead,"2,384",0.6
E05005877 : Bowthorpe,"11,683",36.1
E05005878 : Catton Grove,"10,596",18.7
E05005879 : Crome,"9,855",42.9
E05005880 : Eaton,"8,781",17.7
E05005881 : Lakenham,"9,326",29.2
E05005882 : Mancroft,"9,641",40.7
E05005883 : Mile Cross,"10,655",38.7
E05005884 : Nelson,"9,297",80.2
E05005885 : Sewell,"9,934",73.7
E05005886 : Thorpe Hamlet,"10,557",30.2
E05005887 : Town Close,"10,404",52.8
E05005888 : University,"10,279",36.0
E05005889 : Wensum,"11,504",30.8
E05005890 : Abbey,"2,849",20.4
E05005891 : Brooke,"2,662",0.7
E05005892 : Bunwell,"2,737",0.7
E05005893 : Dickleburgh,"2,814",0.9
E05005894 : Ditchingham and Broome,"2,333",1.0
E05005895 : Easton,"2,717",0.9
E05005896 : Forncett,"2,701",1.0
E05005897 : Hempnall,"2,560",0.6
E05005898 : Hingham and Deopham,"2,908",1.2
E05005899 : New Costessey,"5,198",28.2
E05005900 : Newton Flotman,"2,658",1.5
E05005901 : Northfields,"2,865",3.4
E05005902 : Old Costessey,"7,265",6.9
E05005903 : Poringland with the Framinghams,"4,826",4.2
E05005904 : Rockland,"2,839",0.9
E05005905 : Rustens,"2,789",10.9
E05005906 : Scole,"2,357",0.8
E05005907 : Stoke Holy Cross,"2,867",1.1
E05005908 : Stratton,"5,519",2.3
E05005909 : Tasburgh,"2,399",0.9
E05005910 : Thurlton,"2,726",0.4
E05005911 : Town,"3,310",20.2
E05005912 : Wicklewood,"3,308",0.7
E05005913 : Beck Vale,"2,200",0.7
E05005914 : Bressingham and Burston,"2,810",0.5
E05005915 : Chedgrave and Thurton,"2,713",0.9
E05005916 : Cringleford,"5,052",2.3
E05005917 : Cromwells,"2,592",0.9
E05005918 : Diss,"7,572",14.2
E05005919 : Earsham,"2,444",0.6
E05005920 : Gillingham,"2,871",0.7
E05005921 : Harleston,"4,641",3.4
E05005922 : Hethersett,"5,691",5.2
E05005923 : Loddon,"2,648",1.9
E05005924 : Mulbarton,"5,121",1.7
E05005925 : Roydon,"2,450",4.7
E05007076 : Alton,"3,918",1.7
E05007077 : Berners,"3,907",1.4
E05007078 : Boxford,"2,170",0.7
E05007079 : Brett Vale,"2,181",0.7
E05007080 : Brook,"4,008",0.9
E05007081 : Bures St Mary,"1,699",0.6
E05007082 : Chadacre,"2,057",0.5
E05007083 : Dodnash,"3,541",1.5
E05007084 : Glemsford and Stanstead,"3,701",2.7
E05007085 : Great Cornard North,"4,297",36.5
E05007086 : Great Cornard South,"4,611",8.7
E05007087 : Hadleigh North,"4,521",4.4
E05007088 : Hadleigh South,"3,732",5.3
E05007089 : Holbrook,"2,467",1.6
E05007090 : Lavenham,"1,722",1.4
E05007091 : Leavenheath,"1,772",1.0
E05007092 : Long Melford,"3,774",1.4
E05007093 : Lower Brett,"2,150",0.5
E05007094 : Mid Samford,"3,934",1.5
E05007095 : Nayland,"1,845",0.7
E05007096 : North Cosford,"2,162",0.4
E05007097 : Pinewood,"4,342",20.0
E05007098 : South Cosford,"2,191",0.5
E05007099 : Sudbury East,"4,318",29.6
E05007100 : Sudbury North,"4,429",22.6
E05007101 : Sudbury South,"4,316",9.6
E05007102 : Waldingfield,"3,975",1.3
E05007103 : All Saints,"3,736",20.2
E05007104 : Brandon East,"5,853",1.3
E05007105 : Brandon West,"3,783",1.2
E05007106 : Eriswell and The Rows,"8,625",1.0
E05007107 : Exning,"1,960",1.7
E05007108 : Great Heath,"4,374",18.0
E05007109 : Iceni,"1,824",0.3
E05007110 : Lakenheath,"4,691",1.0
E05007111 : Manor,"1,922",0.8
E05007112 : Market,"4,314",4.7
E05007113 : Red Lodge,"4,124",3.6
E05007114 : St Mary's,"5,843",7.4
E05007115 : Severals,"7,036",14.3
E05007116 : South,"1,663",0.7
E05007117 : Alexandra,"9,700",51.3
E05007118 : Bixley,"7,055",28.9
E05007119 : Bridge,"8,632",45.6
E05007120 : Castle Hill,"7,463",42.6
E05007121 : Gainsborough,"8,792",27.7
E05007122 : Gipping,"8,826",25.8
E05007123 : Holywells,"7,799",41.1
E05007124 : Priory Heath,"8,991",21.8
E05007125 : Rushmere,"8,324",31.4
E05007126 : St John's,"9,134",56.2
E05007127 : St Margaret's,"7,876",20.0
E05007128 : Sprites,"6,660",54.7
E05007129 : Stoke Park,"7,276",36.9
E05007130 : Westgate,"9,938",84.8
E05007131 : Whitehouse,"8,879",34.1
E05007132 : Whitton,"8,039",22.1
E05007133 : Bacton and Old Newton,"2,439",1.0
E05007134 : Badwell Ash,"2,657",0.6
E05007135 : Barking and Somersham,"2,165",0.6
E05007136 : Bramford and Blakenham,"3,950",1.9
E05007137 : Claydon and Barham,"4,686",1.7
E05007138 : Debenham,"2,369",1.0
E05007139 : Elmswell and Norton,"5,425",2.4
E05007140 : Eye,"2,154",1.2
E05007141 : Fressingfield,"2,292",0.5
E05007142 : Gislingham,"2,651",0.6
E05007143 : Haughley and Wetherden,"2,181",1.2
E05007144 : Helmingham and Coddenham,"2,323",0.4
E05007145 : Hoxne,"2,060",0.4
E05007146 : Mendlesham,"2,254",0.7
E05007147 : Needham Market,"4,528",7.1
E05007148 : Onehouse,"2,364",0.9
E05007149 : Palgrave,"2,308",0.8
E05007150 : Rattlesden,"2,080",0.7
E05007151 : Rickinghall and Walsham,"4,546",0.9
E05007152 : Ringshall,"3,510",1.2
E05007153 : Stowmarket Central,"4,573",23.5
E05007154 : Stowmarket North,"9,717",29.5
E05007155 : Stowmarket South,"4,990",21.5
E05007156 : Stowupland,"2,263",1.5
E05007157 : Stradbroke and Laxfield,"2,557",0.7
E05007158 : The Stonhams,"2,326",0.6
